building,count
yes,263837
industrial,4954
residential,2261
house,1270
church,875
school,398
stable,386
commercial,371
public,223
roof,222
farm,211
apartments,197
warehouse,172
terrace,157
detached,104
greenhouse,92
cabin,74
sport,71
hospital,60
office,47
collapsed,47
transportation,36
hut,35
university,32
hotel,28
manufacture,28
train_station,27
grandstand,21
storage_tank,17
tarpaulin,15
garage,15
chapel,11
hangar,11
supermarket,10
garages,9
retail,7
kindergarten,6
barn,6
restaurant,5
service,4
station,3
no,3
shed,3
ruins,3
farm_auxiliary,2
bank,1
bunker,1
gym_/_palestra,1
cathedral,1
Environmental_Education_Centre,1
dormitory,1
library,1
civic,1
stadium,1
damaged,1
Public_office,1
tower,1
