uid,tusername,rank,nodes,ways,relations,areas_way,areas_rel,lastedit
893327,mcheckimport,2712177,1316712,165929,2986,142437,2697,1405921339
452999,DarkSwan_Import,1303063,592639,79089,669,77187,669,1404592541
454589,sabas88,356074,261265,16792,85,7239,39,1405618816
1029236,sabas-import,181640,92102,10003,155,9534,155,1405773020
118185,albertux,177587,117050,9502,49,5217,48,1398896321
89932,matchman,129001,120355,2221,1,329,0,1313522376
478872,mcheck,106073,56927,7370,336,3951,51,1391592913
357986,Gianluca Saba,99319,52639,5896,0,4832,0,1387008048
337594,Catner,86651,66608,4551,2,1062,0,1370826731
576484,fabio virdis,72399,50460,2854,33,2147,33,1396549394
1327268,SalvatoreN,70650,41808,4115,1,2748,0,1405341603
35407,gigu,61617,57198,1355,10,44,0,1402922811
1797163,brandwaechter,58131,53631,1160,0,170,0,1389658246
607510,simone_girardelli,54487,48760,1837,0,36,0,1388687161
513221,_fabian_,53150,44996,1823,53,366,2,1388079617
1228342,CDaniela,52593,20850,3554,5,3502,4,1404466579
16881,ulil,51086,41231,1555,0,865,0,1309447692
223763,Patrick Bous,49468,41074,2362,2,215,0,1400250438
1096017,Fabiano Peddis,49194,21216,5119,11,2085,2,1400165756
512392,Basik71,48271,36058,3430,5,312,1,1406103319
560497,GiusoDazzi,44784,38055,2136,1,52,0,1325111958
961387,trekker48,42604,33445,1523,0,765,0,1400508153
354284,sbiribizio,40811,34667,1525,5,253,1,1405431886
79682,Flaminius,40627,19903,2776,0,2066,0,1354216090
497881,wimvandorst,39993,24123,2534,0,1378,0,1343682663
24126,dforsi,37843,23260,2567,6,1134,4,1406105870
361003,Cascafico,37753,16960,2819,2,2053,0,1386150420
97922,damjang,37747,27307,2763,15,333,3,1405527288
155936,palimpadum,35326,31495,1049,0,114,0,1382544186
226150,hotelsierra,34117,19810,1977,6,1381,6,1365422874
559935,EdAllen,33733,23875,1747,1,767,1,1404246842
12448,Hartmut Holzgraefe,33430,19291,2005,0,1354,0,1386157077
42918,sco,33187,27088,1273,8,360,8,1399167030
113316,Andria Tzedda,32471,18353,1896,10,1380,10,1405321491
35456,Signor_g,31244,27707,1115,0,32,0,1329356906
156825,noromance,30573,24549,1134,4,429,2,1406053559
1842565,taz_atz_zat,29752,25219,1298,1,104,1,1404930335
35560,HeikoE,26844,19338,1746,184,102,0,1342446049
903739,Nocch,25623,21747,623,3,329,1,1405439347
71261,David Paleino,24284,23954,106,0,2,0,1332091931
1892020,brgr,23626,13129,1502,19,952,18,1403727615
37693,Heinz,22071,16188,965,0,498,0,1334526144
1700,Diego Guidotti,20999,19565,454,0,12,0,1394146172
160229,Rattorosso,19684,14965,1435,26,30,0,1405985873
985046,sa_sa,19149,8820,1243,0,1100,0,1361028264
1164,dmgroom,17263,12619,1305,1,120,0,1225796311
32744,Thomas Wagner,16627,15436,369,0,14,0,1403207014
112512,melkart,15600,9096,780,0,694,0,1403201209
62236,Paulchen Panther,14960,11462,900,2,129,1,1391789951
1228339,Davide Massidda,13519,4744,1049,2,933,2,1398009543
124788,Maccy,13408,13036,124,0,0,0,1287498029
1775455,l2212,12965,2993,545,381,441,377,1405808677
109705,gscholz,12597,10167,590,0,110,0,1347699809
562178,sirb75,12551,6803,946,0,485,0,1404200115
7464,Odiug,12403,8908,527,0,319,0,1385549879
948189,francesco56,11328,8985,361,0,210,0,1388434235
110076,GPS-Marco,11042,9539,345,4,72,0,1343476463
287306,Matthias Frank,11028,8244,885,5,14,0,1405808263
73209,Bernd68,9664,9655,3,0,0,0,1248603677
1987,niubii,9512,6848,503,1,191,0,1384949288
2058778,Andrea L,9174,5271,629,4,328,2,1404979212
224342,mircozorzo,9027,8613,118,0,10,0,1378241302
70161,ligamaister,8985,8445,142,0,19,0,1331917760
113023,glaucos,8776,8404,107,1,6,1,1334304115
79254,IlSinnaese,8522,7202,364,0,38,0,1307263889
872055,Gufo Niro,8520,5454,663,3,172,3,1349092881
628487,dmeloni,8351,5282,953,4,29,0,1338558030
123364,Tronikon,8283,6345,446,0,100,0,1338758488
599429,randomguy666,8252,6944,328,2,49,2,1382205458
1461296,gpblv,7896,5088,512,0,212,0,1405890759
196617,venerdi,7808,5207,442,1,211,0,1402984974
185204,gilbomorris,7623,6957,204,0,9,0,1306395091
80088,FedericoCozzi,7473,7050,111,0,15,0,1404033436
1244499,Giuseppe Putzolu,7436,6581,239,0,23,0,1367954172
275822,difuori,7337,6587,206,0,22,0,1367166005
69628,vsandre,6829,4474,345,0,220,0,1385237849
449569,Nautic,6759,4884,351,0,137,0,1388484757
428160,Cirano80,6689,2834,431,0,427,0,1342702677
1036543,RobyMei,6591,3333,594,2,243,0,1376994929
69397,japa-fi,6542,4316,581,3,74,2,1379434187
55878,LST,6325,5593,146,0,49,0,1338935720
6096,Geody,6308,5531,255,0,2,0,1308921006
544675,Obelixx,6005,5849,36,0,8,0,1359574170
65798,Mich74,5929,2257,411,1,404,1,1385283818
88604,Hynz,5787,5577,64,0,3,0,1278435920
461682,Griphon,5784,4107,363,0,98,0,1385469396
202187,mikalaari,5739,4821,198,4,45,3,1401618381
37259,SteveVG,5667,3780,366,29,88,0,1384954191
541879,Kairok,5477,3170,518,3,120,1,1405876689
1241581,frammm,5468,3353,447,2,125,1,1405345919
557035,Baldorider,5374,3133,301,0,223,0,1376123582
663624,delporc,5330,4433,163,0,68,0,1387227448
118455,fraq42,5219,2900,363,0,205,0,1378812389
864,Niccolo,5170,5098,24,0,0,0,1242746185
26139,dieterdreist,5163,3129,339,9,155,1,1389972778
194751,Goffredo,4938,2472,444,30,144,0,1384995632
47882,Javier Sanchez,4881,4194,82,31,27,0,1345156534
922652,skipper51,4701,4602,29,0,2,0,1391542091
482167,GerGel,4686,1995,411,0,243,0,1378389821
937713,dagide,4590,2880,298,0,136,0,1373715950
1861493,brigan74,4402,2149,542,1,103,0,1395847787
1806004,Francesca F,4101,1374,303,0,303,0,1386774791
944876,jabecker,3972,2691,165,0,131,0,1405538899
57872,ptityeti,3901,3646,85,0,0,0,1390168765
39310,ktmrobert,3807,3780,9,0,0,0,1227377896
177015,Suidakra,3729,3642,29,0,0,0,1294351088
412390,MrWebber,3585,3045,176,0,2,0,1370890177
367681,humbach,3518,1610,258,0,189,0,1397685216
209668,Tizianos,3450,2829,181,0,13,0,1385255036
68842,noperante,3374,1229,647,0,34,0,1390141914
56501,Rudolf_H,3371,2888,121,0,20,0,1361926597
179778,JulienBalas,3322,3226,28,0,2,0,1405614528
817803,marchixeddu,3310,2311,135,0,99,0,1346598934
746101,anderfo,3172,2575,177,6,2,0,1402268145
1476146,Alecs01,3160,1114,352,12,147,0,1405084824
117689,foxandpotatoes,3153,2433,208,2,13,0,1398521603
1294780,srad,3145,2737,112,0,12,0,1365976985
90780,Verdy_p,3139,919,579,23,44,2,1394946769
330450,SkyOne,3018,1881,163,0,108,0,1384959297
24966,alessioz,3016,2875,38,1,2,1,1309189249
9353,Schäuble Michele,2997,2799,50,0,8,0,1278708276
82866,Hagebutte,2921,2636,69,0,13,0,1309626308
115612,tyr_asd,2916,1659,206,1,104,1,1386008038
45180,g0ldfish,2784,2535,72,1,4,0,1378310339
1856709,Alessandro Merella,2735,1637,352,0,7,0,1396996164
342705,KonB,2711,2147,138,0,25,0,1330038883
1947948,Sebino73,2688,2463,71,0,2,0,1404989063
513851,djeu_fd,2669,1301,250,0,103,0,1377007511
92408,kilt,2584,2002,118,0,38,0,1333006753
340764,Jemp,2567,1490,153,0,103,0,1389431767
1436933,tanieiz,2566,1480,137,1,110,1,1369682752
1994712,Pinguigi,2551,2134,93,0,23,0,1397230292
89271,estela,2519,1871,156,0,30,0,1249947240
15891,farlokko,2495,1790,153,0,41,0,1342536944
1005013,Gigius911,2452,1921,175,0,1,0,1351438700
2318,Latze,2439,1458,109,0,109,0,1340964102
3062,wollschaf,2398,2320,26,0,0,0,1307566980
1918184,Davide D,2396,1034,230,0,112,0,1391697834
160560,gunnar1m,2368,1243,271,0,52,0,1366990367
534156,Pierpaz,2364,1494,220,0,35,0,1333991590
74437,Mike FABIAN,2329,1639,110,0,60,0,1327100882
113669,AnyFile,2274,1167,128,43,56,0,1396301247
1311287,JosClag,2243,2120,33,0,4,0,1372517433
285692,halfd,2236,967,183,0,120,0,1386343327
109925,WanMil,2232,1398,232,10,7,1,1356809670
48400,ultramoto,2159,2120,13,0,0,0,1245148690
271307,Tavernsenses,2154,1653,113,2,22,2,1389251147
1817336,kiro68,2139,1653,142,0,10,0,1398426561
131835,DarkFlash,2117,1835,28,6,18,6,1328555952
542300,Ircama,2108,1421,110,1,57,1,1373921841
90746,sport_rob,2106,1215,157,0,70,0,1370684272
2184931,louisonb,2102,905,135,0,132,0,1405429487
322785,BCNorwich,2092,346,269,9,134,9,1403548543
48185,Hans Loderer,2039,1694,81,0,17,0,1369564277
1717520,steo1971,2032,1933,33,0,0,0,1377695054
51179,Samuele Battarra,1999,1396,153,0,24,0,1385156243
1950651,sagredo,1937,1805,44,0,0,0,1398875366
38255,BearT,1936,1603,80,1,14,0,1378275770
244838,Cinna,1890,1692,50,0,8,0,1322153234
70280,Dong Huan,1884,1821,13,0,4,0,1282601905
1211510,arcanma,1852,1519,47,20,2,0,1405862952
175149,gutrun,1835,1655,60,0,0,0,1262612410
25132,s141739,1799,611,386,0,5,0,1377444034
171274,FelixSchwarz,1793,845,114,0,101,0,1342986211
1206416,marceMTB,1768,1738,10,0,0,0,1384870388
74746,vogelfreier,1762,1237,99,0,38,0,1390858316
211154,ËdzëronK,1729,364,193,2,126,2,1377721962
38536,bruno giovanni,1683,1386,91,0,4,0,1311717092
536199,ameyer3000,1644,1320,90,0,9,0,1371153588
719593,Carlozz,1627,1249,48,0,39,0,1397738093
626343,Zopieux,1613,1244,99,0,12,0,1344883715
127903,Mike Lehmann,1562,1265,76,7,1,0,1347645182
1810058,geomichele,1551,903,126,0,45,0,1385309912
645593,Viking81,1440,741,103,0,65,0,1385077778
1843978,meteosettimosp,1420,526,208,0,45,0,1388082664
77109,eknus,1399,1090,51,0,26,0,1386885330
161619,FvGordon,1381,598,100,41,16,3,1401740829
206037,hurdygurdyman,1381,970,103,0,17,0,1342691415
29271,Rainer Hoerbe,1379,1217,34,0,10,0,1313188780
192395,BBO,1377,0,453,0,3,0,1331213923
69736,Vincenzo,1353,873,88,0,36,0,1385649857
