type,count
track,16697.197
unclassified,9823.615
residential,6431.191
tertiary,4486.817
secondary,2716.586
primary,2647.975
path,2004.684
service,1360.194
trunk,993.072
footway,317.453
trunk_link,225.740
pedestrian,115.266
primary_link,100.407
bridleway,96.861
construction,79.509
cycleway,67.572
tertiary_link,37.768
secondary_link,31.140
road,19.049
steps,17.770
living_street,9.700
raceway,9.682
rest_area,3.286
services,1.070
track;residential,0.226
razed,0.095
proposed,0.090
bus_stop,0.014
yes,0.009
