type,count
track,16581.963
unclassified,9764.842
residential,6433.472
tertiary,4485.988
secondary,2685.209
primary,2650.465
path,2002.957
service,1338.198
trunk,993.003
footway,313.875
trunk_link,225.897
pedestrian,113.593
primary_link,100.061
bridleway,96.861
construction,80.594
cycleway,64.626
tertiary_link,37.768
secondary_link,31.671
steps,17.742
road,16.289
living_street,9.700
raceway,9.682
rest_area,3.328
services,1.070
residential;unclassified,0.501
piste,0.321
track;residential,0.226
razed,0.095
proposed,0.090
bus_stop,0.014
yes,0.009
