type,count
track,16642.400
unclassified,9795.990
residential,6433.526
tertiary,4489.942
secondary,2685.226
primary,2651.689
path,1995.423
service,1345.623
trunk,993.003
footway,315.735
trunk_link,225.897
pedestrian,114.915
primary_link,100.061
bridleway,96.861
construction,79.509
cycleway,64.625
tertiary_link,37.768
secondary_link,31.671
road,18.023
steps,17.761
living_street,9.700
raceway,9.682
rest_area,3.286
services,1.070
track;residential,0.226
razed,0.095
proposed,0.090
bus_stop,0.014
yes,0.009
