building,count
yes,317253
industrial,6066
residential,2256
house,1264
church,1089
stable,432
school,405
commercial,371
public,241
warehouse,241
roof,223
farm,211
apartments,197
terrace,157
detached,102
greenhouse,92
cabin,74
sport,73
hospital,61
office,47
collapsed,47
transportation,36
hut,35
university,32
manufacture,28
hotel,27
train_station,27
grandstand,21
storage_tank,16
tarpaulin,15
garage,15
chapel,11
hangar,11
supermarket,10
garages,9
retail,7
kindergarten,6
barn,6
restaurant,4
service,4
station,3
no,3
shed,3
ruins,3
farm_auxiliary,2
bank,1
bunker,1
gym_/_palestra,1
cathedral,1
Environmental_Education_Centre,1
dormitory,1
library,1
civic,1
stadium,1
damaged,1
Public_office,1
tower,1
