uid,tusername,rank,nodes,ways,relations,areas_way,areas_rel,lastedit
893327,mcheckimport,3681417,1767309,225713,3511,197779,3116,1406486455
452999,DarkSwan_Import,1302512,592310,79063,669,77163,669,1406326569
454589,sabas88,353027,259892,16260,83,7229,39,1405618816
1029236,sabas-import,181474,92056,9989,155,9521,155,1405773020
118185,albertux,173318,114656,9021,49,5145,48,1406449799
89932,matchman,128245,119812,2164,1,322,0,1313522376
478872,mcheck,105599,56870,7267,330,3942,51,1391592913
357986,Gianluca Saba,99316,52639,5895,0,4832,0,1387008048
337594,Catner,86639,66602,4549,2,1062,0,1370826731
576484,fabio virdis,72169,50407,2821,33,2134,33,1396549394
1327268,SalvatoreN,70639,41806,4112,1,2748,0,1405341603
35407,gigu,61523,57128,1347,10,44,0,1402922811
1797163,brandwaechter,58131,53631,1160,0,170,0,1389658246
607510,simone_girardelli,54487,48760,1837,0,36,0,1388687161
513221,_fabian_,52733,44942,1706,53,364,2,1388079617
1228342,CDaniela,52452,20820,3541,5,3490,4,1404466579
16881,ulil,51066,41226,1552,0,864,0,1309447692
223763,Patrick Bous,49357,41035,2338,2,215,0,1400250438
512392,Basik71,48155,35987,3415,5,312,1,1406103319
1096017,Fabiano Peddis,48015,20745,4923,11,2065,2,1406528182
560497,GiusoDazzi,43481,37481,1907,1,45,0,1325111958
961387,trekker48,42604,33445,1523,0,765,0,1400508153
354284,sbiribizio,40716,34662,1513,5,244,1,1405431886
79682,Flaminius,40627,19903,2776,0,2066,0,1354216090
497881,wimvandorst,39276,23895,2465,0,1331,0,1343682663
24126,dforsi,37769,23222,2561,6,1131,4,1406288723
361003,Cascafico,37710,16953,2807,2,2053,0,1386150420
97922,damjang,37566,27198,2741,15,332,3,1405527288
155936,palimpadum,35210,31391,1045,0,114,0,1382544186
226150,hotelsierra,34084,19792,1974,6,1380,6,1365422874
559935,EdAllen,33733,23875,1747,1,767,1,1404246842
12448,Hartmut Holzgraefe,33430,19291,2005,0,1354,0,1386157077
42918,sco,33122,27032,1270,8,360,8,1399167030
113316,Andria Tzedda,32435,18347,1886,10,1380,10,1405321491
35456,Signor_g,31218,27702,1108,0,32,0,1329356906
156825,noromance,30575,24593,1130,4,424,2,1406389198
1842565,taz_atz_zat,29269,24976,1240,1,93,1,1406357369
35560,HeikoE,26818,19330,1740,184,102,0,1342446049
903739,Nocch,25601,21737,619,3,329,1,1405439347
71261,David Paleino,24284,23954,106,0,2,0,1332091931
