type,count
track,16658.297
unclassified,9793.177
residential,6447.493
tertiary,4502.342
secondary,2689.051
primary,2647.743
path,1998.278
service,1356.834
trunk,993.003
footway,317.098
trunk_link,226.008
pedestrian,115.279
primary_link,100.505
bridleway,96.861
construction,79.509
cycleway,67.572
tertiary_link,37.768
secondary_link,31.632
road,19.049
steps,17.770
living_street,9.700
raceway,9.682
rest_area,3.286
services,1.070
track;residential,0.226
razed,0.095
proposed,0.090
bus_stop,0.014
yes,0.009
