uid,tusername,rank,nodes,ways,relations,areas_way,areas_rel,lastedit
893327,mcheckimport,2577512,1253582,157599,3039,134549,2748,1400631851
452999,DarkSwan_Import,577421,272456,33909,296,33133,296,1400704857
454589,sabas88,357891,261543,16992,104,7348,58,1400424195
118185,albertux,180539,118379,9743,51,5362,50,1398896321
1029236,sabas-import,166248,87261,8801,148,8394,148,1400493287
89932,matchman,129651,120825,2277,1,331,0,1313522376
478872,mcheck,106286,56993,7405,338,3955,51,1391592913
357986,Gianluca Saba,99391,52651,5901,1,4837,1,1387008048
337594,Catner,86917,66724,4569,2,1078,0,1370826731
1327268,SalvatoreN,85623,50001,4917,1,3477,0,1383040036
576484,fabio virdis,72402,50460,2855,33,2147,33,1396549394
35407,gigu,61762,57313,1361,10,46,0,1399125328
1797163,brandwaechter,58445,53828,1185,0,177,0,1389658246
607510,simone_girardelli,54487,48760,1837,0,36,0,1388687161
513221,_fabian_,53403,45147,1843,53,373,2,1388079617
1228342,CDaniela,52599,20919,3540,4,3500,4,1398619235
16881,ulil,51992,41522,1628,0,931,0,1309447692
223763,Patrick Bous,49858,41173,2437,2,226,0,1400250438
1096017,Fabiano Peddis,49773,21435,5187,11,2111,2,1400165756
512392,Basik71,48749,36479,3444,6,313,1,1399984647
560497,GiusoDazzi,45371,38345,2225,1,57,0,1325111958
961387,trekker48,42842,33527,1559,0,773,0,1400508153
497881,wimvandorst,41994,24900,2686,0,1506,0,1343682663
354284,sbiribizio,40768,34645,1516,5,254,1,1389084419
79682,Flaminius,40627,19903,2776,0,2066,0,1354216090
97922,damjang,38033,27476,2790,15,339,3,1399146444
361003,Cascafico,37856,16988,2830,2,2060,0,1386150420
24126,dforsi,37792,23266,2558,4,1134,2,1398792916
155936,palimpadum,35437,31537,1068,0,116,0,1382544186
42918,sco,34753,27607,1400,8,471,8,1399167030
226150,hotelsierra,34527,19881,2030,6,1411,6,1365422874
12448,Hartmut Holzgraefe,33430,19291,2005,0,1354,0,1386157077
35456,Signor_g,31253,27713,1116,0,32,0,1329356906
113316,Andria Tzedda,30292,16897,1796,7,1317,7,1400587471
156825,noromance,30034,24157,1111,4,416,2,1400603277
1842565,taz_atz_zat,29534,24998,1299,1,104,1,1399127753
35560,HeikoE,27307,19585,1780,184,121,0,1342446049
903739,Nocch,25633,21802,605,4,329,1,1400186593
71261,David Paleino,24304,23974,106,0,2,0,1332091931
559935,EdAllen,22612,17413,992,1,368,1,1400004127
37693,Heinz,22293,16257,982,0,515,0,1334526144
1700,Diego Guidotti,21043,19582,463,0,12,0,1394146172
