type,count
track,16475.749
unclassified,9764.218
residential,6429.502
tertiary,4485.972
secondary,2685.287
primary,2650.482
path,1977.875
service,1335.498
trunk,993.003
footway,308.608
trunk_link,225.897
pedestrian,113.375
primary_link,100.016
bridleway,96.864
construction,80.594
cycleway,64.626
tertiary_link,37.763
secondary_link,31.671
steps,17.577
road,16.289
living_street,9.702
raceway,9.682
rest_area,2.057
services,1.070
residential;unclassified,0.501
piste,0.321
track;residential,0.226
razed,0.095
proposed,0.090
bus_stop,0.014
yes,0.009
