uid,tusername,rank,nodes,ways,relations,areas_way,areas_rel,lastedit
454589,sabas88,361708,263077,17499,112,7461,60,1397075032
118185,albertux,197631,124740,11122,51,6461,50,1388411127
89932,matchman,130848,121521,2404,1,351,0,1313522376
478872,mcheck,111765,59262,7837,346,4260,53,1391592913
357986,Gianluca Saba,99400,52651,5902,1,4838,1,1387008048
1327268,SalvatoreN,98308,55639,5721,2,4247,1,1383040036
337594,Catner,89744,68087,4832,5,1186,0,1370826731
893327,mcheckimport,77153,31697,7942,446,2661,275,1396946924
576484,fabio virdis,72509,50492,2874,33,2150,33,1396549394
16881,ulil,65822,46448,2898,0,1780,0,1309447695
35407,gigu,62774,58019,1461,10,47,0,1394482594
513221,_fabian_,61889,46793,3727,57,564,3,1388079617
1797163,brandwaechter,58815,53907,1268,0,184,0,1389658246
42918,sco,57663,35376,3162,9,2111,9,1391788020
607510,simone_girardelli,55316,49265,1883,0,67,0,1388687161
1228342,CDaniela,52946,20870,3577,11,3530,11,1396629553
1096017,Fabiano Peddis,52059,22374,5507,14,2171,2,1395071742
512392,Basik71,51398,37688,3691,11,422,1,1396875998
223763,Patrick Bous,47524,39352,2313,3,201,0,1397023603
560497,GiusoDazzi,45490,38386,2249,1,58,0,1325111958
497881,wimvandorst,42046,24934,2688,0,1508,0,1343682663
354284,sbiribizio,41446,34891,1615,6,274,2,1389084419
79682,Flaminius,40627,19903,2776,0,2066,0,1354216090
24126,dforsi,40557,24177,2808,4,1318,2,1396121715
361003,Cascafico,40016,17378,3042,2,2249,0,1386150420
97922,damjang,38300,27581,2820,15,351,3,1359491861
226150,hotelsierra,36183,20844,2116,9,1476,9,1365422874
155936,palimpadum,35553,31578,1087,0,119,0,1382544186
12448,Hartmut Holzgraefe,34705,19735,2102,0,1444,0,1386157077
35456,Signor_g,33875,29162,1351,0,110,0,1329356909
961387,trekker48,30205,23836,1375,2,371,0,1396947332
113316,Andria Tzedda,28329,15111,1762,4,1312,4,1396903937
35560,HeikoE,28140,19989,1860,189,145,0,1342446049
