type,count
track,16040.374
unclassified,9754.753
residential,6295.140
tertiary,4385.456
secondary,2671.631
primary,2652.142
path,1858.434
service,1239.991
trunk,993.064
footway,293.680
road,236.369
trunk_link,226.025
pedestrian,115.785
primary_link,99.704
construction,79.077
bridleway,78.684
cycleway,71.126
tertiary_link,39.436
secondary_link,31.963
steps,17.208
raceway,9.682
living_street,9.617
rest_area,2.208
services,1.070
yes,1.034
street_lamp,0.413
piste,0.321
razed,0.095
proposed,0.090
bus_stop,0.014
