type,count
track,16644.559
unclassified,9795.550
residential,6436.325
tertiary,4491.478
secondary,2689.027
primary,2647.783
path,1998.005
service,1356.919
trunk,993.003
footway,317.097
trunk_link,225.897
pedestrian,115.118
primary_link,100.320
bridleway,96.861
construction,79.509
cycleway,64.625
tertiary_link,37.768
secondary_link,31.852
road,19.049
steps,17.770
living_street,9.700
raceway,9.682
rest_area,3.286
services,1.070
track;residential,0.226
razed,0.095
proposed,0.090
bus_stop,0.014
yes,0.009
