building,count
yes,186476
industrial,3023
residential,2253
house,1319
church,643
commercial,370
stable,322
school,318
roof,216
farm,212
public,205
apartments,176
terrace,156
warehouse,118
detached,106
greenhouse,88
cabin,74
sport,64
hospital,59
collapsed,48
office,47
hut,35
manufacture,28
train_station,26
grandstand,20
storage_tank,17
garage,16
transportation,15
tarpaulin,13
chapel,10
supermarket,10
hangar,9
garages,9
hotel,8
retail,7
kindergarten,6
barn,6
restaurant,5
university,4
service,4
ruins,3
no,3
station,3
shed,3
farm_auxiliary,2
library,1
bank,1
cathedral,1
bunker,1
dormitory,1
stadium,1
damaged,1
tower,1
Public_office,1
Environmental_Education_Centre,1
civic,1
