type,count
track,16435.532
unclassified,9752.050
residential,6433.248
tertiary,4478.808
secondary,2685.099
primary,2650.481
path,1956.339
service,1330.855
trunk,993.004
footway,305.727
trunk_link,225.872
pedestrian,112.416
primary_link,99.958
bridleway,96.864
construction,80.594
cycleway,64.626
tertiary_link,37.763
secondary_link,31.671
steps,17.264
road,9.847
living_street,9.702
raceway,9.682
rest_area,2.057
services,1.070
yes,1.034
footway;track,0.729
track;footway,0.579
piste,0.321
razed,0.095
proposed,0.090
bus_stop,0.014
