uid,tusername,rank,nodes,ways,relations,areas_way,areas_rel,lastedit
893327,mcheckimport,2305329,1121346,141551,2976,119406,2685,1399494894
452999,DarkSwan_Import,410619,200856,23285,248,22698,248,1399475696
454589,sabas88,358147,261676,17021,104,7354,58,1398794467
118185,albertux,181832,118853,9868,51,5436,50,1398896321
89932,matchman,130243,121135,2349,1,342,0,1313522376
1029236,sabas-import,127735,71929,6223,145,5827,145,1399146464
478872,mcheck,106348,56998,7421,339,3955,51,1391592913
357986,Gianluca Saba,99391,52651,5901,1,4837,1,1387008048
337594,Catner,88049,67304,4661,2,1124,0,1370826731
1327268,SalvatoreN,85646,50003,4920,1,3479,0,1383040036
576484,fabio virdis,72402,50460,2855,33,2147,33,1396549394
35407,gigu,61920,57411,1381,10,46,0,1399125328
1797163,brandwaechter,58451,53828,1187,0,177,0,1389658246
607510,simone_girardelli,54520,48775,1843,0,36,0,1388687161
513221,_fabian_,53735,45206,1922,53,379,2,1388079617
1228342,CDaniela,52631,20924,3543,4,3503,4,1398619235
16881,ulil,52484,41792,1658,0,953,0,1309447695
223763,Patrick Bous,49846,41152,2438,2,227,0,1398259769
1096017,Fabiano Peddis,49794,21459,5184,11,2112,2,1398869883
512392,Basik71,48703,36382,3438,5,326,1,1399371602
560497,GiusoDazzi,45485,38384,2248,1,58,0,1325111958
497881,wimvandorst,41994,24900,2686,0,1506,0,1343682663
354284,sbiribizio,40828,34675,1520,5,257,1,1389084419
79682,Flaminius,40627,19903,2776,0,2066,0,1354216090
961387,trekker48,39741,31245,1424,0,704,0,1399369278
24126,dforsi,38719,23614,2629,4,1195,2,1398792916
361003,Cascafico,38688,17214,2902,2,2125,0,1386150420
97922,damjang,38051,27479,2795,15,339,3,1399146444
155936,palimpadum,35464,31543,1073,0,117,0,1382544186
42918,sco,34763,27608,1401,8,472,8,1399167030
226150,hotelsierra,34618,19942,2034,6,1414,6,1365422874
12448,Hartmut Holzgraefe,34178,19571,2057,0,1406,0,1386157077
35456,Signor_g,31266,27720,1118,0,32,0,1329356906
113316,Andria Tzedda,30028,16738,1783,7,1306,7,1399450511
