building,count
yes,246867
industrial,4775
residential,2269
house,1282
church,818
school,382
stable,374
commercial,369
public,222
roof,221
farm,212
apartments,208
warehouse,169
terrace,155
detached,106
greenhouse,89
cabin,74
sport,68
hospital,60
collapsed,47
office,47
hut,35
university,32
transportation,29
manufacture,28
hotel,27
train_station,26
grandstand,21
storage_tank,17
garage,15
tarpaulin,14
chapel,11
supermarket,10
hangar,9
garages,9
retail,7
kindergarten,6
barn,6
restaurant,5
service,4
station,3
no,3
shed,3
ruins,3
farm_auxiliary,2
bank,1
bunker,1
gym_/_palestra,1
cathedral,1
Environmental_Education_Centre,1
dormitory,1
library,1
civic,1
stadium,1
damaged,1
Public_office,1
tower,1
