type,count
track,16480.730
unclassified,9760.272
residential,6434.513
tertiary,4485.982
secondary,2685.209
primary,2650.465
path,1992.040
service,1337.617
trunk,993.003
footway,312.224
trunk_link,225.897
pedestrian,114.006
primary_link,100.061
bridleway,96.864
construction,80.594
cycleway,64.626
tertiary_link,37.763
secondary_link,31.671
steps,17.742
road,16.289
living_street,9.700
raceway,9.682
rest_area,3.199
services,1.070
residential;unclassified,0.501
piste,0.321
track;residential,0.226
razed,0.095
proposed,0.090
bus_stop,0.014
yes,0.009
