building,count
yes,202346
industrial,3587
residential,2272
house,1323
church,690
commercial,368
stable,354
school,345
roof,215
farm,212
public,211
apartments,185
terrace,156
warehouse,130
detached,106
greenhouse,88
cabin,74
sport,67
hospital,59
collapsed,48
office,47
hut,35
manufacture,28
train_station,26
grandstand,21
transportation,20
storage_tank,17
garage,16
tarpaulin,14
supermarket,10
chapel,10
garages,9
hangar,9
hotel,8
retail,7
kindergarten,6
barn,6
restaurant,5
university,4
service,4
no,3
ruins,3
station,3
shed,3
farm_auxiliary,2
bunker,1
bank,1
cathedral,1
library,1
dormitory,1
stadium,1
damaged,1
tower,1
Public_office,1
Environmental_Education_Centre,1
civic,1
