building,count
yes,80746
residential,2243
house,1651
industrial,811
apartments,271
church,227
farm,210
roof,208
terrace,161
detached,105
greenhouse,88
cabin,74
school,68
commercial,52
collapsed,48
office,48
stable,45
public,38
warehouse,37
hut,36
hospital,31
manufacture,28
train_station,28
grandstand,21
bunker,17
storage_tank,17
garage,16
supermarket,10
no,10
garages,9
hangar,9
retail,7
hotel,7
kindergarten,6
service,5
restaurant,5
chapel,3
shed,3
transportation,3
station,3
ruins,3
university,3
barn,2
farm_auxiliary,2
sport,2
tower,1
cathedral,1
library,1
bank,1
Environmental_Education_Centre,1
civic,1
stadium,1
damaged,1
dormitory,1
Public_office,1
