type,count
track,16291.748
unclassified,9743.092
residential,6399.509
tertiary,4483.277
secondary,2681.913
primary,2653.281
path,1869.514
service,1330.755
trunk,993.067
footway,298.075
trunk_link,225.996
pedestrian,114.588
primary_link,99.165
bridleway,78.678
construction,77.040
cycleway,71.129
tertiary_link,39.417
secondary_link,32.065
steps,17.281
raceway,9.682
living_street,9.617
road,7.760
rest_area,2.516
services,1.070
yes,1.034
street_lamp,0.413
piste,0.321
razed,0.095
proposed,0.090
unclassified;primary,0.058
bus_stop,0.014
