uid,tusername,rank,nodes,ways,relations,areas_way,areas_rel,lastedit
452999,DarkSwan_Import,410330,200834,23254,244,22679,244,1397733696
454589,sabas88,360584,262691,17311,108,7438,60,1397582170
893327,mcheckimport,211453,96118,17631,552,9271,308,1398285678
118185,albertux,195208,123565,10892,51,6368,50,1397584732
89932,matchman,130632,121374,2385,1,349,0,1313522376
478872,mcheck,110293,58585,7733,345,4182,52,1391592913
357986,Gianluca Saba,99391,52651,5901,1,4837,1,1387008048
337594,Catner,89156,67826,4764,2,1170,0,1370826731
1327268,SalvatoreN,86041,50209,4947,1,3497,0,1383040036
576484,fabio virdis,72410,50462,2857,33,2147,33,1396549394
16881,ulil,64737,46368,2579,0,1772,0,1309447695
35407,gigu,62477,57842,1423,10,46,0,1394482594
513221,_fabian_,61563,46755,3635,57,562,3,1388079617
1797163,brandwaechter,58553,53873,1198,0,181,0,1389658246
42918,sco,56988,34893,3115,8,2105,8,1391788020
607510,simone_girardelli,54557,48785,1848,0,38,0,1388687161
1228342,CDaniela,52888,20857,3572,11,3525,11,1396629553
1096017,Fabiano Peddis,51382,22153,5376,13,2162,2,1395071742
512392,Basik71,51118,37582,3640,10,420,1,1398154721
223763,Patrick Bous,50011,41203,2469,3,229,0,1398259769
560497,GiusoDazzi,45490,38386,2249,1,58,0,1325111958
497881,wimvandorst,41994,24900,2686,0,1506,0,1343682663
354284,sbiribizio,41329,34849,1598,6,270,2,1389084419
79682,Flaminius,40627,19903,2776,0,2066,0,1354216090
361003,Cascafico,39660,17268,3012,2,2223,0,1386150420
24126,dforsi,39616,23860,2730,4,1253,2,1396121715
97922,damjang,38245,27565,2809,15,350,3,1359491861
226150,hotelsierra,35699,20567,2085,9,1457,9,1365422874
155936,palimpadum,35522,31565,1083,0,118,0,1382544186
12448,Hartmut Holzgraefe,34596,19701,2093,0,1436,0,1386157077
35456,Signor_g,33725,29057,1342,0,107,0,1329356909
961387,trekker48,31324,25237,1086,3,467,0,1398266078
113316,Andria Tzedda,30316,16510,1838,4,1372,4,1397848947
35560,HeikoE,27951,19914,1836,189,138,0,1342446049
1842565,taz_atz_zat,27446,23195,1190,1,111,1,1397832121
903739,Nocch,25724,21515,646,3,373,1,1387738361
71261,David Paleino,24313,23974,107,0,3,0,1332091931
1228339,Davide Massidda,23942,9533,1685,2,1554,2,1398009543
