building,count
yes,53434
residential,2232
house,1551
industrial,392
apartments,271
roof,210
farm,209
terrace,165
church,122
detached,105
greenhouse,81
cabin,74
school,54
collapsed,48
office,46
commercial,44
hut,36
public,33
hospital,33
train_station,30
manufacture,30
stable,27
warehouse,27
grandstand,21
bunker,17
storage_tank,16
garage,16
supermarket,10
no,10
yes #proviamo con questa di default, così sono tutti building=yes a meno di altri tag,9
hangar,8
garages,8
retail,7
hotel,7
kindergarten,6
service,5
restaurant,5
chapel,3
station,3
ruins,3
university,3
barn,2
shed,2
farm_auxiliary,2
transportation,1
library,1
bank,1
dormitory,1
cathedral,1
tower,1
civic,1
stadium,1
damaged,1
