type,count
track,15933.246
unclassified,9738.650
residential,6283.955
tertiary,4385.385
secondary,2671.612
primary,2653.597
path,1848.786
service,1233.688
trunk,993.064
footway,293.035
road,232.653
trunk_link,226.025
pedestrian,115.432
primary_link,101.995
construction,77.969
bridleway,75.212
cycleway,71.126
tertiary_link,38.794
secondary_link,32.096
steps,17.208
raceway,9.682
living_street,8.739
rest_area,2.208
services,1.070
yes,1.034
motorway,0.526
street_lamp,0.413
piste,0.321
razed,0.095
proposed,0.090
bus_stop,0.014
