building,count
yes,242050
industrial,4365
residential,2269
house,1282
church,797
stable,370
commercial,368
school,350
public,221
roof,219
farm,212
apartments,209
warehouse,169
terrace,156
detached,106
greenhouse,89
cabin,74
sport,68
hospital,60
office,48
collapsed,48
hut,35
manufacture,28
hotel,27
train_station,26
transportation,25
grandstand,21
storage_tank,17
garage,15
tarpaulin,14
chapel,10
supermarket,10
hangar,9
garages,9
retail,7
barn,6
kindergarten,6
restaurant,5
university,4
service,4
no,3
station,3
ruins,3
shed,3
farm_auxiliary,2
civic,1
gym_/_palestra,1
library,1
tower,1
Environmental_Education_Centre,1
dormitory,1
bank,1
stadium,1
damaged,1
Public_office,1
bunker,1
cathedral,1
