type,count
track,16465.343
unclassified,9764.178
residential,6429.607
tertiary,4485.941
secondary,2685.287
primary,2650.466
path,1989.435
service,1335.499
trunk,993.003
footway,308.608
trunk_link,225.897
pedestrian,113.442
primary_link,100.061
bridleway,96.864
construction,80.594
cycleway,64.626
tertiary_link,37.763
secondary_link,31.671
steps,17.573
road,16.289
living_street,9.700
raceway,9.682
rest_area,2.057
services,1.070
residential;unclassified,0.501
piste,0.321
track;residential,0.226
razed,0.095
proposed,0.090
bus_stop,0.014
yes,0.009
