uid,tusername,rank,nodes,ways,relations,areas_way,areas_rel,lastedit
893327,mcheckimport,1586087,777134,99292,2573,79032,2288,1398883684
452999,DarkSwan_Import,410448,200781,23273,246,22693,246,1398700060
454589,sabas88,358959,262026,17107,106,7384,59,1398794467
118185,albertux,188933,121424,10380,51,5935,50,1397584732
89932,matchman,130538,121301,2378,1,349,0,1313522376
478872,mcheck,108027,57762,7540,339,4048,51,1391592913
357986,Gianluca Saba,99391,52651,5901,1,4837,1,1387008048
337594,Catner,88748,67688,4718,2,1148,0,1370826731
1327268,SalvatoreN,85656,50007,4922,1,3479,0,1383040036
576484,fabio virdis,72410,50462,2857,33,2147,33,1396549394
35407,gigu,61911,57432,1373,10,45,0,1398718413
1797163,brandwaechter,58454,53828,1188,0,177,0,1389658246
42918,sco,56939,34874,3111,8,2102,8,1391788020
607510,simone_girardelli,54540,48783,1845,0,37,0,1388687161
513221,_fabian_,53757,45219,1923,53,380,2,1388079617
1228342,CDaniela,52915,20974,3569,4,3529,4,1398619235
16881,ulil,52688,41957,1669,0,954,0,1309447695
1096017,Fabiano Peddis,50345,21692,5252,11,2131,2,1398869883
223763,Patrick Bous,49944,41196,2454,2,228,0,1398259769
512392,Basik71,48513,36228,3428,5,325,1,1398454909
560497,GiusoDazzi,45489,38385,2249,1,58,0,1325111958
497881,wimvandorst,41994,24900,2686,0,1506,0,1343682663
354284,sbiribizio,41043,34785,1545,5,262,1,1389084419
79682,Flaminius,40627,19903,2776,0,2066,0,1354216090
361003,Cascafico,39618,17253,3005,2,2222,0,1386150420
24126,dforsi,38992,23686,2654,4,1216,2,1398792916
97922,damjang,38241,27564,2808,15,350,3,1398573885
961387,trekker48,37111,29437,1311,3,619,0,1398861741
226150,hotelsierra,35654,20567,2078,9,1453,9,1365422874
155936,palimpadum,35464,31543,1073,0,117,0,1382544186
12448,Hartmut Holzgraefe,34439,19649,2080,0,1425,0,1386157077
35456,Signor_g,31481,27848,1141,0,35,0,1329356906
113316,Andria Tzedda,28487,16019,1682,4,1227,4,1398669035
156825,noromance,28470,23037,1029,4,383,2,1398865014
35560,HeikoE,27493,19672,1792,189,124,0,1342446049
1842565,taz_atz_zat,26961,22983,1117,1,102,1,1397832121
903739,Nocch,25709,21512,642,3,373,1,1387738361
71261,David Paleino,24313,23974,107,0,3,0,1332091931
559935,EdAllen,22732,17446,1001,1,378,1,1390177072
37693,Heinz,22506,16368,996,0,525,0,1334526144
1700,Diego Guidotti,21069,19596,465,0,13,0,1394146172
985046,sa_sa,20301,9174,1337,0,1186,0,1361028264
160229,Rattorosso,18984,14727,1307,18,29,0,1387631904
1164,dmgroom,17774,13031,1330,1,124,0,1225796311
112512,melkart,15592,9100,778,0,693,0,1396027805
62236,Paulchen Panther,15154,11491,938,3,136,1,1391789951
32744,Thomas Wagner,14972,13961,315,0,11,0,1349286619
1228339,Davide Massidda,13534,4744,1052,2,934,2,1398009543
124788,Maccy,13510,13129,127,0,0,0,1287498029
109705,gscholz,12733,10210,619,0,111,0,1347699809
562178,sirb75,12614,6815,952,1,489,0,1398754450
7464,Odiug,12568,8974,540,0,329,0,1385549879
340764,Jemp,11766,4755,823,0,757,0,1389431768
287306,Matthias Frank,11332,8320,933,5,28,0,1388860559
948189,francesco56,11328,8985,361,0,210,0,1388434235
110076,GPS-Marco,11164,9622,356,4,73,0,1343476463
73209,Bernd68,9726,9717,3,0,0,0,1248603677
1987,niubii,9515,6848,504,1,191,0,1384949288
428160,Cirano80,9455,4175,590,0,585,0,1342702677
1029236,sabas-import,9346,8785,63,2,57,2,1390173577
70161,ligamaister,9117,8547,148,0,21,0,1331917760
224342,mircozorzo,9051,8625,122,0,10,0,1378241302
872055,Gufo Niro,8935,5626,708,3,190,3,1349092881
79254,IlSinnaese,8929,7546,385,0,38,0,1307263889
113023,glaucos,8926,8407,124,1,22,1,1334304115
123364,Tronikon,8555,6518,463,0,108,0,1338758488
69628,vsandre,8464,5269,443,0,311,0,1385237849
599429,randomguy666,8435,7049,344,2,54,2,1382205458
628487,dmeloni,8356,5284,954,4,29,0,1338558030
196617,venerdi,7860,5211,452,1,214,0,1398443977
1775455,l2212,7811,2537,451,117,361,117,1398873294
185204,gilbomorris,7705,7003,216,0,9,0,1306395091
80088,FedericoCozzi,7537,7066,117,0,20,0,1311368360
1244499,Giuseppe Putzolu,7459,6589,244,0,23,0,1367954172
275822,difuori,7351,6592,209,0,22,0,1367166005
449569,Nautic,7110,5025,375,0,160,0,1388484757
69397,japa-fi,6855,4443,627,3,82,2,1379434187
1036543,RobyMei,6672,3384,602,2,244,0,1376994929
6096,Geody,6359,5582,255,0,2,0,1308921006
55878,LST,6332,5597,147,0,49,0,1338935720
461682,Griphon,6134,4283,392,1,110,1,1385469396
663624,delporc,6043,4714,231,0,106,0,1387227448
544675,Obelixx,6021,5856,37,0,9,0,1359574170
88604,Hynz,5941,5698,75,0,3,0,1278435920
65798,Mich74,5929,2257,411,1,404,1,1385283818
37259,SteveVG,5772,3825,378,29,92,0,1384954191
557035,Baldorider,5374,3133,301,0,223,0,1376123582
482167,GerGel,5301,2262,455,0,279,0,1378389821
26139,dieterdreist,5276,3173,348,9,162,1,1389972778
118455,fraq42,5238,2907,367,0,205,0,1378812527
1241581,frammm,5234,3023,448,5,132,5,1398169597
864,Niccolo,5220,5148,24,0,0,0,1242746185
194751,Goffredo,4998,2484,451,31,147,0,1384995632
541879,Kairok,4965,2985,451,1,103,0,1398707564
47882,Javier Sanchez,4951,4228,88,31,30,0,1345156534
922652,skipper51,4728,4617,33,0,2,0,1391542091
937713,dagide,4641,2892,303,0,140,0,1373715950
1861493,brigan74,4587,2172,584,3,105,1,1395847817
56501,Rudolf_H,4150,3352,164,0,51,0,1361926597
1806004,Francesca F,4101,1374,303,0,303,0,1386774791
57872,ptityeti,3911,3647,88,0,0,0,1390168765
39310,ktmrobert,3819,3789,10,0,0,0,1227377896
177015,Suidakra,3733,3646,29,0,0,0,1294351088
89271,estela,3717,2412,233,0,101,0,1249947240
944876,jabecker,3629,2489,140,0,120,0,1395805785
367681,humbach,3622,1624,270,0,198,0,1397685216
412390,MrWebber,3606,3057,179,0,2,0,1370890177
68842,noperante,3478,1246,662,0,41,0,1390141914
209668,Tizianos,3471,2835,186,0,13,0,1385255036
817803,marchixeddu,3329,2312,137,0,101,0,1346598934
90780,Verdy_p,3232,934,595,25,45,3,1394946769
202187,mikalaari,3223,2701,86,4,35,3,1398445155
1294780,srad,3202,2761,119,0,14,0,1365976985
117689,foxandpotatoes,3185,2438,213,2,15,0,1398521603
9353,Schäuble Michele,3137,2915,58,0,8,0,1278708276
92408,kilt,3088,2212,156,0,68,0,1333006753
24966,alessioz,3043,2890,42,1,2,1,1309189249
330450,SkyOne,3018,1881,163,0,108,0,1384959297
82866,Hagebutte,2971,2662,75,0,14,0,1309626308
115612,tyr_asd,2940,1662,210,2,104,1,1393837144
45180,g0ldfish,2864,2567,84,1,6,0,1378310339
342705,KonB,2810,2207,149,0,26,0,1330038883
1420956,DimerG,2796,1209,207,0,161,0,1382953694
1856709,Alessandro Merella,2747,1637,353,1,7,0,1396996164
513851,djeu_fd,2690,1307,253,0,104,0,1377007511
534156,Pierpaz,2610,1587,247,0,47,0,1333991590
