type,count
track,16339.192
unclassified,9745.735
residential,6423.544
tertiary,4478.513
secondary,2684.716
primary,2652.788
path,1897.154
service,1341.094
trunk,993.078
footway,298.303
trunk_link,225.871
pedestrian,112.747
primary_link,99.958
bridleway,78.679
construction,77.041
cycleway,71.147
tertiary_link,37.840
secondary_link,31.763
steps,17.262
raceway,9.682
living_street,9.611
road,8.639
rest_area,2.516
services,1.070
yes,1.034
piste,0.321
razed,0.095
proposed,0.090
unclassified;primary,0.058
bus_stop,0.014
