building,count
yes,144881
residential,2241
industrial,2210
house,1362
church,464
commercial,297
school,263
apartments,221
roof,216
farm,212
public,193
stable,158
terrace,156
detached,105
greenhouse,88
warehouse,80
cabin,74
hospital,54
sport,53
collapsed,48
office,47
hut,36
train_station,28
manufacture,28
grandstand,21
storage_tank,17
bunker,17
garage,16
tarpaulin,11
supermarket,10
transportation,9
garages,9
hangar,9
hotel,8
retail,7
barn,6
kindergarten,6
restaurant,5
service,5
chapel,4
no,4
ruins,3
station,3
shed,3
university,2
farm_auxiliary,2
library,1
cathedral,1
bank,1
civic,1
stadium,1
damaged,1
tower,1
Public_office,1
Environmental_Education_Centre,1
dormitory,1
