type,count
track,16640.474
unclassified,9787.695
residential,6434.380
tertiary,4486.225
secondary,2685.263
primary,2650.505
path,1995.150
service,1345.623
trunk,993.003
footway,315.681
trunk_link,225.897
pedestrian,114.914
primary_link,100.061
bridleway,96.861
construction,80.594
cycleway,64.625
tertiary_link,37.768
secondary_link,31.671
steps,17.761
road,16.289
living_street,9.700
raceway,9.682
rest_area,3.286
services,1.070
track;residential,0.226
razed,0.095
proposed,0.090
bus_stop,0.014
yes,0.009
