uid,tusername,rank,nodes,ways,relations,areas_way,areas_rel,lastedit
454589,sabas88,361351,262951,17445,111,7451,60,1397582170
452999,DarkSwan_Import,263866,125704,15331,135,15024,135,1397328570
118185,albertux,196222,124081,11006,51,6394,50,1397584732
89932,matchman,130712,121436,2391,1,349,0,1313522376
478872,mcheck,110437,58672,7750,345,4183,52,1391592913
357986,Gianluca Saba,99391,52651,5901,1,4837,1,1387008048
1327268,SalvatoreN,97950,55479,5697,2,4226,1,1383040036
893327,mcheckimport,95496,43965,9781,490,2684,279,1397582293
337594,Catner,89334,67887,4782,5,1176,0,1370826731
576484,fabio virdis,72437,50462,2860,33,2150,33,1396549394
16881,ulil,65770,46423,2895,0,1777,0,1309447695
35407,gigu,62688,57966,1452,10,46,0,1394482594
513221,_fabian_,61568,46757,3636,57,562,3,1388079617
1797163,brandwaechter,58815,53907,1268,0,184,0,1389658246
42918,sco,57221,35021,3144,8,2108,8,1391788020
607510,simone_girardelli,54582,48792,1854,0,38,0,1388687161
1228342,CDaniela,52945,20869,3577,11,3530,11,1396629553
1096017,Fabiano Peddis,51957,22341,5488,14,2169,2,1395071742
512392,Basik71,51218,37652,3652,10,419,1,1396875998
223763,Patrick Bous,47413,39343,2279,3,201,0,1397299475
560497,GiusoDazzi,45490,38386,2249,1,58,0,1325111958
497881,wimvandorst,42046,24934,2688,0,1508,0,1343682663
354284,sbiribizio,41403,34860,1613,6,273,2,1389084419
79682,Flaminius,40627,19903,2776,0,2066,0,1354216090
361003,Cascafico,40016,17378,3042,2,2249,0,1386150420
24126,dforsi,39705,23883,2742,4,1258,2,1396121715
97922,damjang,38300,27581,2820,15,351,3,1359491861
226150,hotelsierra,36159,20841,2109,9,1476,9,1365422874
155936,palimpadum,35549,31577,1086,0,119,0,1382544186
12448,Hartmut Holzgraefe,34599,19701,2094,0,1436,0,1386157077
35456,Signor_g,33766,29068,1346,0,110,0,1329356909
113316,Andria Tzedda,29864,16334,1806,4,1342,4,1397548282
961387,trekker48,28571,23195,969,3,407,0,1397548081
35560,HeikoE,28079,19955,1853,189,144,0,1342446049
1842565,taz_atz_zat,27967,23428,1272,1,118,1,1397466369
903739,Nocch,25748,21521,652,3,373,1,1387738361
71261,David Paleino,24313,23974,107,0,3,0,1332091931
1228339,Davide Massidda,23942,9533,1685,2,1554,2,1396531260
37693,Heinz,23156,16673,1041,0,560,0,1334526144
559935,EdAllen,22889,17489,1023,1,386,1,1390177072
1700,Diego Guidotti,21191,19700,469,0,14,0,1394146172
985046,sa_sa,20301,9174,1337,0,1186,0,1361028264
160229,Rattorosso,19305,14820,1379,18,31,0,1387631904
1164,dmgroom,19168,14137,1402,1,136,0,1225796311
156825,noromance,17975,14732,618,3,225,2,1397497706
112512,melkart,15718,9154,798,0,695,0,1396027805
62236,Paulchen Panther,15399,11562,970,3,149,1,1391789951
32744,Thomas Wagner,15041,13985,330,0,11,0,1349286619
124788,Maccy,13618,13231,129,0,0,0,1287498029
562178,sirb75,13459,7141,1084,2,508,0,1397464470
7464,Odiug,13128,9144,588,0,370,0,1385549879
340764,Jemp,12915,5202,903,0,834,0,1389431768
109705,gscholz,12745,10210,623,0,111,0,1347699809
287306,Matthias Frank,11477,8375,951,5,34,0,1388860559
110076,GPS-Marco,11439,9804,377,4,78,0,1343476463
948189,francesco56,11337,8985,362,0,211,0,1388434235
73209,Bernd68,10135,10123,4,0,0,0,1248603677
428160,Cirano80,9980,4394,624,0,619,0,1342702677
1987,niubii,9591,6885,510,2,193,0,1384949288
1029236,sabas-import,9358,8794,64,2,57,2,1390173577
70161,ligamaister,9252,8646,154,0,24,0,1331917760
79254,IlSinnaese,9208,7768,394,0,43,0,1307263889
224342,mircozorzo,9076,8638,124,0,11,0,1378241302
