type,count
track,16203.937
unclassified,9736.160
residential,6374.679
tertiary,4450.924
secondary,2676.018
primary,2653.420
path,1867.538
service,1312.737
trunk,993.067
footway,294.007
trunk_link,225.739
pedestrian,115.729
primary_link,100.300
bridleway,78.684
construction,77.141
cycleway,71.126
tertiary_link,39.436
secondary_link,31.451
steps,17.258
raceway,9.682
living_street,9.617
rest_area,2.208
services,1.070
yes,1.034
street_lamp,0.413
piste,0.321
razed,0.095
proposed,0.090
bus_stop,0.014
