building,count
yes,67665
residential,2241
house,1622
industrial,605
apartments,273
roof,210
farm,209
church,176
terrace,168
detached,105
greenhouse,88
cabin,74
school,57
commercial,48
collapsed,48
office,47
stable,43
hut,36
public,36
hospital,33
warehouse,33
manufacture,30
train_station,28
grandstand,21
bunker,17
storage_tank,16
garage,16
no,10
supermarket,10
garages,8
hangar,8
retail,7
hotel,7
kindergarten,6
service,5
restaurant,5
ruins,3
station,3
university,3
chapel,3
transportation,3
sport,2
barn,2
shed,2
farm_auxiliary,2
library,1
bank,1
dormitory,1
tower,1
civic,1
stadium,1
damaged,1
cathedral,1
