type,count
track,16592.531
unclassified,9771.077
residential,6432.495
tertiary,4486.231
secondary,2685.218
primary,2650.470
path,2006.203
service,1341.526
trunk,993.003
footway,314.798
trunk_link,225.897
pedestrian,114.810
primary_link,100.061
bridleway,96.861
construction,80.594
cycleway,64.626
tertiary_link,37.768
secondary_link,31.671
steps,17.746
road,16.289
living_street,9.700
raceway,9.682
rest_area,3.286
services,1.070
residential;unclassified,0.501
piste,0.321
track;residential,0.226
razed,0.095
proposed,0.090
bus_stop,0.014
yes,0.009
